LAD19CD,2020,2025,2030,2035,2040,2045,2050
E06000001,0.0164081483305156,0.0176969204346146,0.027141553759653,0.0641309731723104,0.1256437554224877,0.1723007483303042,0.1877685011531531
E06000002,0.0162874791412375,0.0177345135990483,0.0271339016109408,0.0636372188017855,0.1241174487089671,0.1699616172550911,0.1851113192661793
E06000003,0.0105169615456371,0.0124879306243201,0.0222113482340024,0.0591977446723473,0.1205073668341029,0.1671289589767723,0.1828476917669866
E06000004,0.0157661154385604,0.0170879503653871,0.0264962236911398,0.0635341999531474,0.1254081566780292,0.1723739612441737,0.1880341959030423
E06000005,0.0150679185656514,0.0180026114856501,0.0282555776058955,0.0654530313555904,0.1257816147743076,0.1713099314801924,0.1861676544833514
E06000006,0.0119633605825008,0.0140024580409898,0.0236111735507483,0.060934483936247,0.1229017973968308,0.1699674803610846,0.1856518518893614
E06000007,0.0099024253330382,0.0120281245073559,0.0216168088045089,0.0587918504703829,0.1206108076069605,0.1675915801411753,0.1833152465232733
E06000008,0.0151617952167217,0.0166498613873848,0.0262302297370372,0.063319361083684,0.1246651998705939,0.1711907253361318,0.186586414923288
E06000009,0.0168137061359455,0.0186055548528986,0.0278651487459341,0.062588201092526,0.119355575883911,0.1623081976737728,0.1764191786716077
E06000010,0.0133801616544209,0.0159868878685032,0.0242757284406991,0.0543141280538537,0.1034937033387496,0.1411756040872216,0.1550648759681853
E06000011,0.0091261696529653,0.0126594139982738,0.0218369825442791,0.0519903111035237,0.0994301581107718,0.1358651942609099,0.1494676332176394
E06000012,0.0122770939456929,0.0148682398376917,0.0233362149513937,0.0539484758671551,0.1038868006473236,0.1421605305065549,0.1562031025096566
E06000013,0.0120733185282738,0.0152955107303123,0.0242086688638942,0.0545096033462886,0.1029288745703348,0.1401135486928521,0.1540192128735678
E06000014,0.0126747893757297,0.0154629694429509,0.0238653554198864,0.0535294408003327,0.101530790070836,0.1382984530459198,0.1517775130696292
E06000015,0.0121999326822563,0.0141913233963247,0.0221206314684334,0.0501634935136609,0.0942650273543241,0.1278918446192101,0.1396687842913563
E06000016,0.0236085224192763,0.0258437216714196,0.0334152079025433,0.0604586836319794,0.1028595742364473,0.1350351958706206,0.1460646146315482
E06000017,0.0129924401094276,0.0149606388299156,0.0223128307408724,0.0485708177341369,0.0925934619434859,0.1270270826961253,0.1408480466431394
E06000018,0.0286533806607169,0.0307711467106813,0.0380079450934897,0.0645340434308847,0.1068090065878244,0.1389208305460005,0.1500562453575062
E06000019,0.0115754190092472,0.0156007681572278,0.0244247994637035,0.0514314883387043,0.0921948606167446,0.1236208224116942,0.1354907554494418
E06000020,0.0126058411262158,0.0148785641655851,0.0220505354172059,0.0497388451055615,0.0960234951336791,0.1319069916159818,0.1454035889989846
E06000021,0.0136726561551205,0.0153140978003934,0.0227010318736913,0.0504208908874622,0.0955916571818337,0.1303871539804861,0.1430387776861274
