GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
ABNE_P,3.034432295,4.499445838,4.365503505,4.233774375,4.105003063,3.967117988,3.834701424,3.708083119,3.534367861,3.303438273,3.030675952,2.645332575,2.227338769,1.888708525,1.75467363,1.334148048,0.810375205,0.661896101,0.577501684,0.503623119,0.438982814,0.382471817,0.335007624,0.296675323,0.265597193,0.240346114,0.21983274,0.203204658,0.189818011,0.179158702,
ABTH_1,1.226098021,4.898900274,4.898776413,4.898639931,4.963475421,5.092122531,5.220388554,5.348771738,5.477333073,5.606143566,5.735268285,5.865033652,5.99532201,6.127271356,6.227549393,6.327624548,6.427741155,6.528566525,6.597584713,6.603440947,6.609531795,6.616031749,6.62284857,6.630174145,6.637806335,6.645736073,6.654155771,6.662864203,6.672143891,6.681617084,
ABHA1,19.26329874,20.67984092,20.05261219,19.43622781,18.80997423,18.13863304,17.45065569,16.79118056,15.90173048,15.08029765,14.23695833,13.47094697,12.77643847,11.99109344,11.30167227,10.69647359,10.16626307,9.703343036,9.298997407,8.947215917,8.641030294,8.375216838,8.154151873,7.978453646,7.838745844,7.728049072,7.641229793,7.573927087,7.523275246,7.486386382,
ACTL_2,0.134348478,0.134556788,0.134565901,0.134557258,0.134748305,0.134909396,0.135003198,0.135116683,0.13526973,0.135490651,0.13576444,0.136205585,0.136759253,0.137616154,0.138524132,0.139455392,0.140423462,0.141445865,0.142506368,0.143695873,0.144944548,0.146264081,0.147646869,0.149100994,0.150623274,0.152215833,0.153884121,0.155625181,0.157446678,0.15933954,
ALNE_P,0.045931104,0.04600232,0.046005436,0.046002481,0.046067797,0.04612287,0.046154939,0.046193738,0.046246061,0.04632159,0.046415194,0.046566012,0.0467553,0.047048258,0.047358678,0.047677057,0.048008021,0.048357561,0.048720125,0.049126795,0.049553692,0.050004814,0.050477562,0.050974699,0.051495137,0.052039601,0.052609956,0.05320519,0.053827924,0.054475056,
ALVE1,7.796726135,7.116814755,6.801541767,6.491037667,6.187908672,5.864464099,5.552886455,5.254217444,4.851382897,4.479436216,4.097560023,3.750882724,3.436661983,3.081355175,2.769506884,2.495960251,2.256456635,2.04727365,1.864658172,1.705869711,1.567791048,1.448013368,1.348538103,1.269586952,1.206986875,1.157584888,1.118990002,1.089301601,1.067124735,1.0512832,
ARBR_P,0.907139299,0.908545829,0.908607363,0.908549004,0.909838986,0.91092669,0.911560049,0.91232632,0.91335971,0.914851408,0.916700069,0.919678735,0.923417178,0.92920309,0.935333886,0.941621881,0.94815842,0.955061828,0.962222482,0.970254185,0.978685412,0.98759508,0.996931852,1.006750301,1.017028947,1.027782117,1.039046628,1.050802506,1.063101501,1.075882363,
ARMO_P,0.136070895,0.136281875,0.136291104,0.13628235,0.136475848,0.136639004,0.136734008,0.136848949,0.137003956,0.137227711,0.13750501,0.13795181,0.138512577,0.139380464,0.140300083,0.141243282,0.142223763,0.143259275,0.144333372,0.145538128,0.146802812,0.148139262,0.149539778,0.151012545,0.152554343,0.154167317,0.155856994,0.157620376,0.159465225,0.161382354,
AXMI1,1.218890925,1.220780828,1.220863509,1.220785095,1.222518398,1.223979908,1.224830929,1.225860542,1.22724907,1.229253412,1.231737392,1.235739721,1.240762934,1.24853726,1.256774992,1.265223947,1.274006863,1.283282729,1.292904246,1.303696159,1.315024901,1.326996505,1.339541996,1.352734697,1.36654575,1.380994403,1.396130128,1.411926083,1.428451808,1.445624999,
AYRR,0.000430604,0.000431272,0.000431301,0.000431273,0.000431886,0.000432402,0.000432702,0.000433067,0.000433556,0.000434265,0.000435142,0.000436556,0.000438331,0.000441078,0.000443987,0.000446972,0.000450075,0.000453352,0.000456752,0.000460564,0.000464566,0.000468795,0.000473227,0.000477888,0.000482767,0.000487871,0.000493218,0.000498799,0.000504637,0.000510704,
